"Sta","Abr.alb","Abr.nit","Apo.pes","Arc.isl","Ant.ent","Ast.ell","Ast.mon","Ast.sul","Buc.und","Cau.cla","Cor.gib","Cus.cus","Cyl.alb","Dia.min","Enn.ten","Eus.mon","Hia.arc","Kur.bid","Lep.cae","Mac.cal","Mya.tru","Myt.edu","Nuc.per","Par.min","Par.ova","Phi.sca","Pse.pes","Ris_fam","Tel.fer","Thy.equ","Thy.fle","Thy.gou","Thy.sar","Amp.chi","Amp.fil","Amp.squ","Bri.lyr","Ech.cor","Ech.fla","Oph.acu.e","Oph.aff","Oph.alb","Oph.fra","Oph.oph","Oph.rob","Str.dro","Ano.gra","Ama.aur","Ama.tri","Amp.gun","Aph.acu","Bra.vil","Cha.nil","Cha.set","Cos.lon","Dip.cfc","Dip.gla","Ete.cfl","Euc.rub","Eum.san","Eun.pen","Eup.neb","Exo.ver","Fla.aff","Gal.oci","Gly.alb","Gly.lap","Gly.rou","Gon.mac","Gyp.ros","Har.cff","Het.fil","Lae.fil","Lao.cir","Mal.sar","Med.fra","Mel.cri","Mel.eli","Neo.gra","Nep.cil","Nic.zos","Oph.acu.p","Oph.fle","Orb.nor","Orb.ser","Par.eli","Par.jef","Pet.bor","Phe.fal","Phe.plu","Pho.cfa","Pho.cfi","Pho.pal","Phy.gro","Phy.ros","Pis.cri","Pis.lor","Pol.cra","Pol.med","Pol.cfn","Pra.lon","Pri.cir","Pri.fal","Pse.pau","Rho.gra","Rho.lov","Sab.oct","Sca.inf","Sco.arm","Sco.fra","Sco.cfm","Sig.fus","Sph.fla","Spi.kro","Spi.typ","Str.bai","Syl.arm","Ter.str","Tri.gla","Tri.ros","Typ.arm","Typ.cor"
1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,8,1,0,0,0,8,0,0,3,0,0,0,0,0,0,1,0,9,1,0,11,0,0,35,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,7,0,6,0,18,0,6,2,0,0,0,0,0,0,16,0,0,0,31,2,0,0,2,2,1,0,8
2,0,1,0,0,0,7,1,1,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,14,0,0,18,1,0,6,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,2,8,1,5,0,23,12,0,0,0,1,1,0,13,0,4,1,240,4,2,1,2,0,3,0,9
3,0,7,0,0,0,1,10,0,1,1,0,0,0,0,171,0,0,0,0,3,0,0,0,0,0,2,0,0,0,37,13,0,7,0,0,0,0,0,1,0,4,0,0,0,0,0,11,0,2,0,0,0,1,10,1,0,7,0,0,0,0,0,0,0,0,17,0,0,13,0,0,12,0,0,15,0,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,13,0,1,1,13,0,6,0,1,0,0,0,0,0,26,1,0,0,215,4,2,4,12,0,0,0,13
4,0,1,0,0,0,2,9,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,4,0,1,4,0,0,0,2,5,1,0,0,1,0,6,0,0,0,4,3,0,6,0,0,5,0,0,0,0,1,0,0,0,10,0,0,15,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,16,0,5,0,4,0,12,1,11,0,5,1,1,0,13,0,0,0,70,4,0,1,12,4,6,0,8
5,0,0,0,0,0,1,27,0,0,2,4,0,0,0,8,0,1,0,15,13,0,0,0,1,1,2,3,0,1,4,0,0,2,1,2,2,1,0,0,0,12,3,0,0,2,2,70,0,1,0,4,1,0,32,0,0,3,1,0,0,1,5,0,0,0,5,20,0,23,1,0,8,0,0,0,0,2,12,0,0,0,2,0,0,0,0,0,0,3,0,0,10,0,0,0,11,0,30,1,11,1,73,32,11,0,0,0,0,19,10,0,0,3,2,0,0,3,6,1,3,0,19
6,0,0,1,1,0,5,6,0,0,2,1,0,0,0,106,0,0,0,0,0,1,0,0,0,0,0,1,0,1,22,0,0,5,0,1,0,1,0,0,0,5,1,0,0,0,0,8,0,0,0,2,2,1,45,2,0,6,0,0,3,0,0,0,0,0,13,6,0,14,1,0,35,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,20,1,14,3,5,0,86,39,1,0,0,0,1,0,10,0,1,0,98,1,1,2,7,0,1,0,11
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,11,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,1,1,0,0,0,1,0,2,0,0,0,0,0,12,0,1,0,315,15,0,1,1,1,4,0,2
8,1,2,0,0,0,0,16,0,0,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,6,0,0,0,1,3,0,13,1,0,9,0,0,1,0,2,0,0,0,8,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,5,0,8,0,7,6,3,0,0,0,1,0,20,0,1,0,52,5,2,0,8,3,2,0,9
9,0,0,0,2,0,0,2,0,0,1,22,0,0,0,0,0,2,1,6,0,0,0,1,1,0,1,2,0,0,3,0,0,0,5,3,1,0,0,0,0,14,0,0,1,0,0,56,0,0,2,0,2,0,3,0,11,2,0,0,0,2,2,0,0,0,12,10,0,19,0,0,18,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,2,3,0,22,1,16,0,24,54,20,0,0,0,0,0,10,0,0,1,18,4,2,2,9,2,8,1,18
10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,9,2,4,0,0,0,2,0,9,0,0,0,0,0,7,0,0,0,1,8,0,18,0,0,1,0,0,0,0,0,0,0,0,8,0,1,14,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,12,0,9,0,0,4,15,0,0,0,1,0,15,1,0,0,45,1,1,2,2,0,7,0,7
11,0,3,0,0,0,0,3,0,0,1,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,25,0,3,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,2,6,0,20,0,0,3,0,0,0,0,1,0,0,0,2,0,0,12,0,0,14,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,4,2,2,2,1,0,9,3,3,0,0,0,1,0,9,0,1,0,31,5,0,0,4,1,0,0,11
12,0,5,0,0,0,0,12,0,0,2,0,0,1,0,229,0,0,0,0,0,0,0,0,0,0,2,1,0,0,67,5,0,4,0,7,0,0,0,1,0,0,2,0,0,0,0,7,0,0,2,1,0,1,141,0,0,45,1,0,0,0,0,0,0,0,5,0,1,11,0,0,147,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,6,3,0,19,31,11,0,0,0,0,0,3,0,0,0,128,1,0,1,18,1,1,0,1
13,0,1,0,0,1,0,3,0,1,1,0,0,0,1,50,0,0,0,0,4,0,0,0,0,0,0,1,0,0,20,8,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,16,0,1,17,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,9,1,4,3,3,0,63,32,0,0,0,0,0,0,19,1,0,0,32,10,0,1,21,5,3,0,12
14,0,0,1,0,0,0,3,0,0,0,0,0,0,0,87,0,0,0,0,8,0,0,0,0,0,0,0,0,0,21,8,0,5,0,1,1,1,0,0,0,0,1,0,0,0,0,14,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,1,0,0,7,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,19,3,11,0,7,0,0,1,46,0,0,1,0,0,14,0,0,0,17,1,1,0,8,0,1,0,29
15,0,3,0,1,0,2,13,1,0,1,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,3,0,0,1,0,0,1,0,3,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,7,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,2,0,16,0,1,1,0,0,0,0,1,0,11,0,3,0,38,5,1,1,0,0,0,0,2
16,1,2,0,0,0,0,0,1,1,0,0,0,0,0,50,0,0,0,0,4,0,0,0,0,0,0,1,0,0,5,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,2,0,0,0,0,10,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,1,2,0,0,0,1,0,0,11,1,0,0,293,14,0,2,5,0,5,0,7
17,0,6,0,0,0,0,4,0,0,0,1,0,0,0,92,1,0,0,0,12,0,0,0,0,0,0,0,0,0,25,33,3,15,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0,8,0,0,7,0,0,0,0,0,0,0,0,8,0,0,10,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,1,1,10,0,12,2,0,0,0,0,0,0,14,0,0,0,36,1,0,1,6,2,3,0,9
18,0,1,0,0,0,1,2,0,1,3,2,0,0,0,106,0,0,0,0,10,0,2,0,1,0,1,0,2,0,35,10,2,6,0,0,2,0,0,3,0,0,3,0,0,0,0,13,0,1,0,0,2,0,43,0,0,2,0,0,0,0,0,0,0,0,14,1,0,18,0,0,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,31,1,10,0,18,13,9,0,0,0,1,0,15,0,0,0,74,1,0,0,7,0,2,0,12
19,0,0,1,0,0,0,1,0,0,0,1,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,10,0,0,2,0,0,0,0,0,0,0,0,2,0,0,9,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,16,0,7,0,3,0,2,0,1,0,0,0,1,0,8,0,0,0,33,3,0,0,2,0,4,0,4
20,0,3,0,2,0,0,1,0,0,1,51,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,3,8,8,0,0,0,1,0,10,2,0,0,1,0,22,0,2,0,4,9,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,13,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,13,0,36,2,12,0,1,1,10,0,0,0,0,0,8,0,0,0,28,4,0,0,1,3,0,0,7
21,0,0,0,0,0,0,8,0,0,1,4,0,0,0,122,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,1,3,1,0,1,0,0,1,0,3,0,0,0,0,0,7,0,0,0,1,2,0,18,0,0,2,0,0,0,0,0,0,0,0,15,0,0,5,0,0,6,0,0,5,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22,1,16,2,1,0,0,6,2,0,0,0,0,0,12,1,0,0,61,2,3,0,20,1,2,0,4
22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,63,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,17,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,1,1,11,0,0,12,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,1,0,0,1,0,14,2,0,0,0,0,0,0,11,1,1,0,53,1,1,0,4,1,2,0,8
23,0,5,0,0,0,0,0,0,1,0,0,0,0,0,89,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,14,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,0,0,3,0,16,1,0,1,0,0,0,0,0,0,0,0,3,0,0,22,0,0,4,0,0,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,13,1,1,0,1,0,6,4,4,0,0,1,1,0,11,1,0,0,126,24,2,0,9,1,2,0,13
24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,16,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,1,0,1,0,1,54,0,0,7,0,0,0,0,0,0,0,0,18,0,0,7,0,0,13,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,9,1,9,18,3,0,3,7,4,0,0,0,1,0,16,0,0,0,70,3,0,0,9,2,0,0,6
25,0,5,0,0,0,0,6,0,0,1,16,0,0,0,3,0,7,0,25,1,2,0,0,1,0,0,4,0,0,1,3,0,0,2,0,0,0,0,0,0,23,2,0,0,2,2,76,0,3,0,0,1,0,7,1,0,2,1,1,2,4,2,1,0,0,12,9,0,16,0,2,15,0,2,9,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,0,0,11,0,26,4,2,0,23,5,571,2,0,0,2,19,15,0,0,2,6,1,0,0,15,0,1,0,10
26,0,3,0,0,0,0,0,0,1,3,0,0,0,0,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,17,5,15,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,22,0,0,2,0,0,0,0,0,0,0,0,6,2,0,13,0,0,176,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,18,1,12,1,6,0,26,2,0,0,0,0,1,3,19,1,1,0,151,4,0,0,3,0,0,0,12
27,0,0,0,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,13,0,1,1,0,2,0,6,0,0,7,0,0,0,0,0,0,0,0,6,0,0,8,0,0,19,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,12,1,10,4,4,0,1,2,0,0,0,0,0,0,14,0,0,0,36,16,3,1,5,0,0,0,7
28,0,3,0,1,0,0,2,0,0,3,25,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,42,0,0,5,3,6,2,0,2,0,0,4,1,0,0,1,0,19,0,0,0,1,10,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,0,0,4,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,8,0,15,0,6,0,1,0,21,0,0,0,0,0,11,1,0,1,90,6,0,1,13,0,1,0,5
