"Sta","Gr","Abr.alb","Abr.nit","Apo.pes","Arc.isl","Ant.ent","Ast.ell","Ast.mon","Ast.sul","Buc.und","Cau.cla","Cor.gib","Cus.cus","Cyl.alb","Dia.min","Enn.ten","Eus.mon","Hia.arc","Kur.bid","Lep.cae","Mac.cal","Mya.tru","Myt.edu","Nuc.per","Par.min","Par.ova","Phi.sca","Pse.pes","Ris_fam","Tel.fer","Thy.equ","Thy.fle","Thy.gou","Thy.sar","Amp.chi","Amp.fil","Amp.squ","Bri.lyr","Ech.cor","Ech.fla","Oph.acu.e","Oph.aff","Oph.alb","Oph.fra","Oph.oph","Oph.rob","Str.dro","Ano.gra","Ama.aur","Ama.tri","Amp.gun","Aph.acu","Bra.vil","Cha.nil","Cha.set","Cos.lon","Dip.cfc","Dip.gla","Ete.cfl","Euc.rub","Eum.san","Eun.pen","Eup.neb","Exo.ver","Fla.aff","Gal.oci","Gly.alb","Gly.lap","Gly.rou","Gon.mac","Gyp.ros","Har.cff","Het.fil","Lae.fil","Lao.cir","Mal.sar","Med.fra","Mel.cri","Mel.eli","Neo.gra","Nep.cil","Nic.zos","Oph.acu.p","Oph.fle","Orb.nor","Orb.ser","Par.eli","Par.jef","Pet.bor","Phe.fal","Phe.plu","Pho.cfa","Pho.cfi","Pho.pal","Phy.gro","Phy.ros","Pis.cri","Pis.lor","Pol.cra","Pol.med","Pol.cfn","Pra.lon","Pri.cir","Pri.fal","Pse.pau","Rho.gra","Rho.lov","Sab.oct","Sca.inf","Sco.arm","Sco.fra","Sco.cfm","Sig.fus","Sph.fla","Spi.kro","Spi.typ","Str.bai","Syl.arm","Ter.str","Tri.gla","Tri.ros","Typ.arm","Typ.cor"
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,1,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,5,2,0,0,0,0,0,0,5,0,0,0,9,2,0,0,0,0,0,0,3
1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,2,2,0,0,4
2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,14,6,0,0,0,1,0,0,2,0,0,0,21,2,1,0,1,0,1,0,3
2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,5,1,0,0,0,0,1,0,2,0,0,1,98,0,1,1,0,0,0,0,1
2,3,0,1,0,0,0,2,0,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,4,4,0,0,0,0,0,0,3,0,2,0,99,1,0,0,0,0,2,0,2
2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,2,0,0,1,0,0,0,0,0,0,6,0,2,0,22,1,0,0,1,0,0,0,3
3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,41,0,0,0,3,0,0,0,4
3,2,0,2,0,0,0,0,3,0,0,1,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,6,0,1,0,0,0,0,0,0,0,9,0,0,0,47,0,1,0,3,0,0,0,2
3,3,0,1,0,0,0,1,4,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,6,1,0,0,55,4,0,3,2,0,0,0,2
3,4,0,4,0,0,0,0,1,0,1,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,2,0,0,0,21,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,1,0,0,0,0,0,5,0,0,0,72,0,1,1,4,0,0,0,5
4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,3,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,7,0,0,0,1,0,1,0,3
4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,2,0,1,0,2
4,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,1,0,4,0,0,0,24,2,0,1,5,0,1,0,0
4,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,2,0,8,0,10,0,1,1,0,0,4,0,0,0,33,1,0,0,4,4,3,0,3
5,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20,0,0,0,1,1,0,4,0,0,0,1,0,0,0,1,0,0,0,1,3,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,8,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,1,0,0,1,0,0,0,2,1,0,0,0,0,6,0,1,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,4,2,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,19,0,8,0,42,19,5,0,0,0,0,1,4,0,0,0,1,0,0,0,2,0,1,0,0
5,3,0,0,0,0,0,1,5,0,0,1,2,0,0,0,2,0,1,0,7,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,7,0,6,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,1,1,0,9,4,3,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,2,0,4
5,4,0,0,0,0,0,0,6,0,0,1,2,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,1,0,0,1,1,29,0,0,0,3,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,2,1,14,7,0,0,0,0,0,10,3,0,0,3,0,0,0,3,4,1,0,0,6
6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,24,2,0,2,0,0,0,0,0,0,0,0,5,2,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,3,0,14,10,1,0,0,0,0,0,3,0,1,0,25,0,0,0,0,0,0,0,3
6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,10,7,0,0,0,0,0,0,2,0,0,0,27,1,0,0,2,0,0,0,3
6,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,2,0,0,2,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1,0,1,0,0,4,4,0,0,0,0,0,0,2,0,0,0,16,0,1,1,1,0,0,0,2
6,4,0,0,0,0,0,4,3,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,4,0,7,0,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,2,0,58,18,0,0,0,0,1,0,3,0,0,0,30,0,0,1,4,0,1,0,3
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,72,3,0,0,0,0,2,0,1
7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,119,9,0,0,0,0,0,0,1
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,69,2,0,0,1,0,2,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,1,0,1,0,0,0
8,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,1,2,0,0,4,0,1,0,1
8,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0,0,0,2,2,0,0,1,0,0,0,3
8,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,1,1,0,0,0,0,0,5,0,0,0,17,1,0,0,0,3,0,0,2
8,4,0,1,0,0,0,0,4,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,6,2,2,0,0,0,0,0,4,0,0,0,32,0,2,0,3,0,1,0,3
9,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,15,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,3,0,8,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,10,1,5,0,10,19,11,0,0,0,0,0,1,0,0,1,5,2,0,1,3,1,2,1,4
9,2,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,5,0,1,1,6,0,0,0,0,0,4,0,0,0,1,0,2,0,1,0,2,0,2
